Perfume,Marca,Acordes,Notas
Fame Intense,Rabanne,"Amaderado, Floral blanco, Cálido especiado, Atalcado, Ámbar, Ahumado, Balsámico, Floral amarillo, Almizclado","Agua de coco, Pimienta rosa, Bergamota, Jazmín, Incienso, Ylang-ylang, Sándalo, Almizcle, Cedro de virginia"
Fame Parfum,Paco Rabanne,"Tropical, Amaderado, Afrutados, Ámbar, Cálido especiado","Almizcle, Incienso de olíbano (franquincienso), Benjuí, Pachulí, Jazmín, Mango, Sándalo, Pimienta rosa, Bergamota"
Fame Parfum,Rabanne,"Tropical, Amaderado, Ámbar, Afrutados, Cálido especiado, Dulce, Floral blanco, Atalcado, Almizclado, Balsámico","Mango, Bergamota, Pimienta rosa, Jazmín, Pachulí, Incienso, Benjuí, Sándalo, Almizcle, Helvetolida"
Fancy,Jessica Simpson,"Afrutados, Dulce, Caramelo, Avainillado, Atalcado, Almendrado, Floral blanco, Fresco, Ámbar, Lactónico","Chabacano, Pera, Bayas rojas, Caramelo, Almendra, Gardenia, Jazmín, Vainilla, Ámbar, Sándalo"
Fancy Forever,Jessica Simpson,"Afrutados, Avainillado, Dulce, Florales, Almizclado, Atalcado, Cítrico, Ámbar, Tropical","Lichi, Chabacano, Mandarina, Zarzamora (frambuesa negra), Guisante de olor, Magnolia, Haba tonka, Almizcle, Absoluto de vainilla"
Fancy Girl,Jessica Simpson,"Dulce, Afrutados, Florales, Atalcado, Avainillado, Fresco, Almizclado","Nectarina, Frambuesa, Pera, Fresia, Orquídea, Ciclamen (violeta persa), Vainilla, Almizcle, Ámbar, Sándalo"
Fancy Love,Jessica Simpson,"Florales, Cítrico, Champán, Ámbar, Almizclado, Aldehídico, Amaderado, Afrutados, Fresco","Flor del duraznero (flor del melocotonero), Champaña, Bergamota, Frangipani (plumeria), Plumaria, Atapaima, Jazmín, Peonía, Flor de loto, Rosa, Ámbar, Almizcle, Notas amaderadas, Pachulí"
Fancy Nights,Jessica Simpson,"Amaderado, Pachulí, Terrosos, Cálido especiado, Ámbar, Avainillado, Atalcado, Balsámico, Musgoso","Papiro de egipto, Bergamota, Pachulí, Rosa, Jazmín, Ámbar, Vainilla, Sándalo, Musgo de roble"
Fancy Red,Orlov Paris,"Amaderado, Cítrico, Floral amarillo, Floral blanco, Dulce","Ylang-ylang, Amberwood, Akigalawood, Jazmín, Naranja amarga, Mandarin orange, Bergamota, Pimienta rosa, Cedro"
Fan Di Fendi,Fendi,"Afrutados, Cítrico, Floral blanco, Cuero, Animálico, Pachulí, Amaderado, Dulce, Nardos, Verde","Naranja tangerina, Grosellas negras, Pera, Jazmín, Nardos, Rosa, Cuero, Pachulí"
Fan Di Fendi Blossom,Fendi,"Florales, Afrutados, Dulce, Fresco, Almizclado","Vainilla, Jazmín egipcio, Pera, Flor de cerezo japonés, Pimienta rosa, Almizcle blanco, Magnolia, Frambuesa"
Fan Di Fendi Eau De Toilette,Fendi,"Cítrico, Cuero, Floral blanco, Floral amarillo, Verde","Cuero, Pachulí, Jazmín, Limonero, Grosellas negras, Té verde, Petitgrain, Lydia broom, Mandarina"
Fan Di Fendi Eau Fraiche,Fendi,"Cítrico, Floral blanco, Aromático, Verde, Fresco especiado","Cardamomo guatemalteco, Cuero, Limón italiano (lima italiana), Flores blancas, Notas amaderadas, Té verde, Bergamota"
Fan Di Fendi Extreme,Fendi,"Cuero, Avainillado, Cítrico, Floral blanco, Animálico","Cuero, Limón italiano (lima italiana), Jazmín, Nardos, Vainilla, Bergamota de calabria"
Fan Di Fendi Leather Essence,Fendi,"Cuero, Avainillado, Aromático, Animálico, Balsámico","Resina de elemí, Cuero, Almizcle, Rosa, Haba tonka, Vainilla, Mandarin orange"
Fan Di Fendi Pour Homme,Fendi,"Cuero, Amaderado, Cálido especiado, Aromático, Cítrico, Fresco especiado, Animálico, Especiado suave, Fresco, Ahumado","Cuero, Notas amaderadas, Cardamomo, Cítricos, Pimienta rosa, Albahaca"
Fan Di Fendi Pour Homme Acqua,Fendi,"Aromático, Cítrico, Marino, Fresco especiado, Cuero, Amaderado, Especiado suave, Almizclado, Herbal, Lavanda","Notas marinas, Bergamota, Limón italiano (lima italiana), Lavanda, Pimienta rosa, Cardamomo, Albahaca, Salvia, Cuero, Cedro, Almizcle"
Fan Di Fendi Pour Homme Assoluto,Fendi,"Ámbar, Aromático, Cálido especiado, Oud, Dulce, Balsámico, Especiado suave, Amaderado, Avainillado, Pachulí","Cardamomo guatemalteco, Pimienta rosa, Madera de oud, Pachulí, Salvia, Vetiver, Opopónaco, Haba tonka, Cítricos"
Fanfare,Thameen,"Aromático, Cítrico, Fresco especiado, Amaderado, Florales","Limón (lima ácida), Neroli, Bergamota, Notas florales, Vermut, Baya de enebro, Romero, Vetiver, Almizcle, Pachulí"
Fanfarone Italiano,State Of Mind,"Amaderado, Cálido especiado, Afrutados, Café, Aromático, Cacao, Dulce, Cítrico, Nueces, Especiado suave","Capullos del grosellero, Cáscara de naranja, Grosellas negras, Neroli, Café, Chocolate, Cachemira, Haba tonka, Coñac, Nuez, Cacao, Vainilla, Ámbar"
Fanghorn,Pineward Perfumes,"Terrosos, Amaderado, Verde, Fresco especiado, Musgoso, Aromático, Conífera, Fresco","Tintura de tierra, Abeto blanco, Notas verdes, Musgo"
Fango E Pesca,Filippo Sorcinelli,"Acuático, Ozónico, Afrutados, Musgoso, Amaderado, Terrosos, Florales, Dulce, Pachulí, Aromático","Notas de lluvias, Durazno (melocotón), Hojas de violeta, Cilantro, Barro, Osmanto (olivo oloroso), Jazmín, Bálsamo de gurjum, Musgo de roble, Pachulí, Almizcle, Tabaco"
Fanos,Gritti,"Cálido especiado, Atalcado, Canela, Aromático, Floral amarillo","Cardamomo guatemalteco, Canela, Flor de azahar del naranjo, Sándalo, Vainilla, Violeta, Jengibre, Mimosa, Ámbar"
Fantabulosa,Lush,"Musgoso, Terrosos, Afrutados, Dulce, Acuático","Hojas de violeta, Plátano, Manzanilla, Seaweed, Musgo de roble, Ládano"
Fantabulous,Ajmal,"Afrutados, Tropical, Amaderado, Fresco, Atalcado","Almizcle, Jazmín, Sándalo, Kiwi, Litchi"
Fanta Fab,Just Jack,"Aromático, Amaderado, Lavanda, Cuero, Ámbar","Cuero, Cachemira, Almendro, Vainilla, Lavanda, Maderas blancas, Esclarea, Orris, Ámbar, Tonka"
Fantasia,Anna Sui,"Dulce, Cítrico, Amaderado, Afrutados, Aromático, Fresco especiado, Lactónico","Toronja (pomelo), Pimienta rosa, Praliné, Frambuesa, Notas florales, Ciprés, Cedro del himalaya"
Fantasia De Fleurs,Creed,"Rosas, Ámbar, Iris, Animálico, Cítrico","Bergamota, Iris, Rosa de bulgaria (rosa damascena de bulgaria), Ámbar gris"
Fantasia Fendi,Fendi,"Avainillado, Atalcado, Florales, Amaderado, Dulce","Rosa, Jazmín, Albaricoque, Hiacynth, Vainilla, Sándalo, Haba tonka, Bergamota, Lirio de los valles (muguete), Musgo de roble, Aldehídos, Orquídea"
Fantasia Forever,Anna Sui,"Florales, Cítrico, Acuático, Ámbar, Almizclado","Flor de manzano, Kumquat (naranja enana), Bergamota, Flor de loto, Fresia, Siempreviva, Rosa, Ámbar, Almizcle, Maderas blancas"
Fantasia Gold Edition,Anna Sui,"Dulce, Avainillado, Florales, Floral blanco, Atalcado","Notas dulces, Flor del peral, Bergamota, Limón (lima ácida), Arroz con leche, Orquídea de vainilla, Jazmín, Madreselva, Vainilla, Haba tonka, Pachulí"
Fantasia Mermaid,Anna Sui,"Cítrico, Amielado, Florales, Afrutados, Fresco, Dulce, Cálido especiado, Tropical, Amaderado, Floral blanco","Naranja sanguina, Mandarina, Cardamomo, Lichi, Peonía, Jazmín, Miel, Madera blanca, Vainilla"
Fantasia Pop Surprise,Anna Sui,"Dulce, Afrutados, Ámbar, Caramelo, Amaderado, Almizclado, Aromático","Frambuesa, Casis (grosellero negro), Jaboticaba, Jazmín sambac (sampaguita), Ciclamen (violeta persa), Algodón de azúcar, Ambroxan, Trozos de madera a la deriva"
Fantasia Rose,Anna Sui,"Rosas, Almizclado, Aromático, Amaderado, Fresco especiado, Florales, Cítrico, Afrutados, Acuático, Atalcado","Bayas silvestres, Bergamota, Almizcle ambreta, Rosa, Notas acuáticas, Geranio, Almizcle, Amberwood, Vetiver"
Fantasia Veneta,Bvlgari,"Pachulí, Amaderado, Cálido especiado, Afrutados, Terrosos, Avainillado, Balsámico, Dulce, Atalcado","Durazno rojo (melocotón rojo), Hojas de pachulí de indonesia, Vainilla"
Fantasmagory,Louis Vuitton,"Avainillado, Almendrado, Dulce, Nueces, Afrutados, Florales, Atalcado, Especiado suave","Anís, Jengibre, Almendra, Notas florales, Vainilla, Cuero"
Fantasme,Ted Lapidus,"Afrutados, Dulce, Atalcado, Amaderado, Violeta, Avainillado, Rosas, Almizclado, Fresco, Florales","Durazno (melocotón), Piña, Violeta, Notas verdes, Bergamota, Frambuesa, Rosa de damasco, Raíz de lirio, Jazmín, Lirio de los valles (muguete), Vainilla, Almizcle, Sándalo, Cedro"
Fantasquatic,Mugler,"Aromático, Marino, Ámbar, Salado, Cálido especiado","Papyrus, Pachulí, Sea notes, Toronja (pomelo), Cardamomo, Ámbar gris, Limón (lima ácida), Coriander"
Fantasque,Givenchy,"Ámbar, Balsámico, Cálido especiado, Ahumado, Dulce","Mirra, Incienso, Oud malasio"
Fantasque,Louis Feraud,"Amaderado, Terrosos, Fresco, Atalcado, Verde","Acordes verdes, Almizcle, Raíz de lirio, Ylang-ylang, Rosa, Pachulí, Jazmín, Musgo de roble, Spices, Sándalo, Vetiver, Palo de rosa, Pera, Lirio de los valles (muguete), Cedro de virginia, Cítricos, Aldehídos, Ámbar"
Fantastic,Al Rehab,"Afrutados, Avainillado, Floral blanco, Dulce, Nardos, Atalcado, Ámbar, Almizclado, Animálico, Rosas","Notas afrutadas, Vainilla, Nardos, Ámbar, Almizcle, Jazmín, Rosa, Notas especiadas"
Fantastic Basilic,Montale,"Fresco especiado, Aromático, Verde, Cítrico, Ámbar, Herbal, Fresco, Nardos, Florales, Floral blanco","Albahaca, Kumquat (naranja enana), Pera, Nardos, Frangipani (plumeria), Plumaria, Atapaima, Benjuí, Haba tonka"
Fantastic Man,Byredo,"Aromático, Cálido especiado, Fresco especiado, Amaderado, Terrosos","Pachulí, Incense, Vetiver, Geranio, Lavanda, Star anise, Cardamomo, Musgo de roble, Bergamota"
Fantastico Circo,Granado,"Lavanda, Almizclado, Atalcado, Aromático, Florales","Almizcle, Peonía, Haba tonka, Sándalo, Lavanda, Iris, Lirio de los valles (muguete), Angélica, Neroli"
Fantastic Oud,Montale,"Ámbar, Oud, Amaderado, Balsámico, Tabaco, Cuero, Animálico, Cálido especiado, Ahumado, Rosas","Madera de oud, Tabaco, Rosa, Pachulí, Incienso, Styrax, Cuero, Ámbar gris, Sándalo"
Fantasy,Britney Spears,"Dulce, Afrutados, Tropical, Fresco, Chocolate","Almizcle, Raíz de lirio, Cupcake, Chocolate blanco, Jazmín, Kiwi, Quince, Notas amaderadas, Red litchi, Orquídea"
Fantasy Anniversary Edition,Britney Spears,"Dulce, Afrutados, Tropical, Fresco, Florales, Atalcado, Floral blanco, Amaderado","Kiwi, Lichi, Membrillo, Quequito (pastelito), Chocolate blanco, Jazmín, Orquídea, Almizcle, Raíz de lirio, Notas amaderadas"
Fantasy Body Mist,Britney Spears,"Dulce, Afrutados, Tropical, Fresco, Almizclado, Atalcado, Floral blanco, Florales","Kiwi, Lichi rojo, Membrillo, Quequito (pastelito), Chocolate blanco, Jazmín, Orquídea, Almizcle, Notas amaderadas, Raíz de lirio"
Fantasy Did It Again Edition,Britney Spears,"Dulce, Afrutados, Acerezado, Almendrado, Lactónico, Nueces, Amaderado, Atalcado, Almizclado, Cítrico","Pera, Mandarina, Lirio de los valles (muguete), Mousse de dulce de leche, Crema de almendras, Rosa, Lavanda, Cereza, Sándalo, Almizcle"
Fantasy Dreams,X Bond,"Cítrico, Amaderado, Fresco, Floral blanco, Atalcado, Fresco especiado, Afrutados, Verde, Aromático","Cítricos, Bergamota, Chabacano, Lirio de los valles (muguete), Sándalo"
Fantasy Eau De Toilette,Britney Spears,"Dulce, Afrutados, Caramelo, Florales, Tropical, Fresco, Atalcado, Amaderado, Floral blanco, Iris","Lichi rojo, Membrillo, Kiwi, Chocolate blanco, Caramelo, Orquídea, Jazmín, Raíz de lirio, Notas amaderadas, Almizcle"
Fantasy Forever,Sergio Tacchini,"Afrutados, Amaderado, Avainillado, Atalcado, Dulce","Almizcle, Moss, Jazmín, Sándalo, Vainilla, Wild rose, Arándano, Bergamota, Extracto de cedro blanco"
Fantasy Forever Eau Romantique,Sergio Tacchini,"Avainillado, Afrutados, Dulce, Ámbar, Atalcado","Almizcle, Benjuí, Clementina, Peonía, Haba tonka, Morera, Vainilla, Bergamota, Frambuesa"
Fantasy In Bloom,Britney Spears,"Afrutados, Florales, Fresco, Dulce, Floral blanco, Avainillado, Cítrico, Amargo","Flor del cerezo japonés, Bayas rojas, Mandarina verde, Osmanto (olivo oloroso), Jazmín, Nardos, Vainilla, Sándalo, Ámbar"
Fantasy Intense,Britney Spears,"Dulce, Amaderado, Afrutados, Pachulí, Atalcado, Almizclado, Terrosos, Tropical, Fresco, Cálido especiado","Lichi, Pera, Kiwi, Chocolate blanco, Quequito (pastelito), Jazmín, Orquídea, Pachulí, Notas amaderadas, Almizcle, Raíz de lirio"
Fantasy Intimate Edition,Britney Spears,"Avainillado, Dulce, Atalcado, Ozónico, Almizclado, Cítrico, Fresco, Floral blanco, Afrutados, Acuático","Limón italiano (lima italiana), Lichi, Hojas de violeta, Azúcar moreno, Notas ozónicas, Jazmín, Lirio de los valles (muguete), Retama de olor (gayomba), Vainilla, Almizcle blanco, Heliotropo, Benjuí"
Fantasy Naked,Britney Spears,"Afrutados, Dulce, Atalcado, Avainillado, Florales, Almizclado, Lactónico","Agua ardiente de manzana, Grosellas negras, Durazno (melocotón), Osmanto (olivo oloroso), Nenúfar (lirio de agua), Quequito (pastelito), Vainilla, Chabacano, Almizcle"
Fantasy Sheer,Britney Spears,"Dulce, Afrutados, Fresco, Florales, Cítrico, Acuático, Tropical, Floral blanco, Atalcado, Iris","Agua de cítricos, Lichi, Membrillo, Nenúfar (lirio de agua), Lirio de los valles (muguete), Quequito (pastelito), Iris, Almizcle blanco, Notas amaderadas"
Fantasy Stage Edition,Britney Spears,"Dulce, Afrutados, Tropical, Florales, Atalcado, Fresco, Almizclado, Floral blanco, Amaderado","Kiwi, Lichi, Membrillo, Chocolate blanco, Quequito (pastelito), Orquídea, Jazmín, Almizcle, Notas amaderadas, Raíz de lirio"
Fantasy The Naughty Remix,Britney Spears,"Dulce, Iris, Amaderado, Atalcado, Almizclado, Florales, Chocolate, Terrosos","Chocolate blanco, Raíz de lirio, Quequito (pastelito), Notas amaderadas, Almizcle, Orquídea, Jazmín"
Fantasy The Nice Remix,Britney Spears,"Dulce, Floral blanco, Almizclado, Afrutados, Atalcado, Tropical, Fresco","Quequito (pastelito), Jazmín, Almizcle, Kiwi"
Fantasy Twist,Britney Spears,"Dulce, Afrutados, Atalcado, Iris, Florales, Amaderado, Tropical, Fresco, Almizclado, Floral blanco","Kiwi, Lichi, Membrillo, Chocolate blanco, Quequito (pastelito), Orquídea, Jazmín, Raíz de lirio, Almizcle, Notas amaderadas"
Fantasy World Collection Bem Me Quer Com Brilho,Jequiti,"Florales, Fresco, Afrutados, Rosas, Dulce, Caramelo, Lactónico","Frutas rojas, Peonía, Caramelo, Mousse de dulce de leche"
Fantasy World Collection Bem Me Quer Com Encanto,Jequiti,"Dulce, Cítrico, Caramelo, Avainillado, Afrutados, Especiado suave, Floral blanco, Balsámico, Atalcado","Mandarina, Frambuesa, Lirio de los valles (muguete), Regaliz, Caramelo, Vainilla"
Fantasy World Collection Bem Me Quer Com Sonhos,Jequiti,"Florales, Dulce, Atalcado, Almizclado, Caramelo, Amaderado","Chabacano, Fresia, Algodón de azúcar, Almizcle, Madera de sándalo"
Fantôme De Forêt,Odette Parfum Co,"Avainillado, Ahumado, Floral blanco, Salado, Herbal, Dulce, Ámbar, Cálido especiado, Cuero, Florales","Vainilla, Sal, Humo, Ginger lily blanca, Flor del tabaco, Siempreviva, Ámbar, Copal, Abedul, Musgo de roble, Sándalo"
Fantôme De La Nuit,Prin,"Florales, Herbal, Verde, Dulce, Fresco especiado, Lavanda, Terrosos, Cálido especiado, Especiado suave, Musgoso","Heno, Hinojo, Lavanda, Seta, Siempreviva, Liatris (liátride), Clavel, Champaca, Tintura de pelo de cabra, Jazmín sambac (sampaguita), Mimosa, Musgo de roble, Comino, Vetiver, Pachulí"
Fantomas,Nasomatto,"Dulce, Ahumado, Plástico, Ozónico, Acuático, Afrutados, Fresco, Caucho, Terrosos, Caramelo","Melón, Plástico, Goma, Notas dulces, Humo, Pólvora, Caramelo, Fruta tropical, Notas terrosas, Cachemira, Pachulí"
Fantome De Maules,Stora Skuggan,"Verde, Aromático, Amaderado, Cítrico, Almizclado, Ámbar, Cálido especiado, Atalcado, Fresco especiado, Lavanda","Hojas verdes, Gálbano, Bergamota, Limón (lima ácida), Cardamomo, Lavanda, Cachemira, Notas de flores del bosque, Cilantro, Pimienta negra, Musgo de roble, Ambroxan, Vetiver, Cedro, Sándalo, Almizcle, Haba tonka, Ládano"
Fantosmia,Jorum Studio,"Cálido especiado, Fresco especiado, Tabaco, Aromático, Oud, Cuero, Amaderado, Metálico","Pimienta negra, Cardamomo, Pimiento morrón, Shiso (menta púrpura), Yerba mate, Hinojo, Azafrán, Oud blanco, Tabaco, Nuez moscada, Castóreo, Cascarilla"
Fantástico Circo,Granado,"Lavanda, Almizclado, Atalcado, Aromático, Florales, Iris, Fresco, Fresco especiado, Ámbar, Floral blanco","Lavanda, Neroli, Angélica, Iris, Peonía, Lirio de los valles (muguete), Almizcle, Haba tonka, Sándalo"
Fan Your Flames,Nishane,"Dulce, Coco, Amaderado, Tabaco, Ron, Avainillado, Musgoso, Lactónico, Terrosos, Cálido especiado","Coco, Ron, Tabaco, Haba tonka, Cedro de china, Musgo de roble"
Fan Your Flames X,Nishane,"Amaderado, Dulce, Coco, Aromático, Tabaco, Avainillado, Ron, Terrosos, Balsámico, Cálido especiado","Coco, Ron, Resina almáciga del lentisco, Tabaco, Haba tonka, Zanahoria, Tomillo, Musgo de roble, Pachulí, Cedro"
Faqat Lil Rijal,Rasasi,"Cálido especiado, Oud, Cuero, Fresco especiado, Amaderado, Aromático, Pachulí, Animálico, Atalcado, Almizclado","Madera de oud, Azafrán, Bergamota, Geranio, Jazmín, Cardamomo, Arroz, Madera de oud, Cuero, Pachulí, Sándalo, Almizcle"
Faqqua Iris,Rook Perfumes,"Violeta, Atalcado, Iris, Verde, Terrosos, Ámbar, Musgoso, Amaderado, Florales","Violeta, Iris, Notas verdes, Musgo de roble, Ámbar"
Fara,Antonio Alessandria,"Cítrico, Fresco especiado, Aromático, Verde, Amaderado","Almizcle, Comino, Water notes, Peppermint, Lime, Salt, Incense, Limón (lima ácida), Bergamota, Ámbar, Magnolia, Cedro"
Farah,Brecourt,"Dulce, Ámbar, Cálido especiado, Amielado, Canela","Dates, Cuero, Almizcle, Canela, Benjuí, Styrax, Pachulí, Haba tonka, Miel blanca, Cedro de virginia, Bergamota, Ládano francés"
Farah,Paris Corner,"Cálido especiado, Tabaco, Ron, Dulce, Canela, Amaderado, Avainillado, Metálico, Cuero","Ron, Azafrán, Canela, Cedro, Tabaco, Vainilla"
Faraó Ramsés I,Bharara,"Cálido especiado, Amaderado, Dulce, Avainillado, Tabaco, Ron, Ámbar, Aromático, Atalcado, Especiado suave","Ron, Cardamomo, Pimienta rosa, Pimienta negra, Bergamota, Tabaco, Haba tonka, Ámbar, Cipriol (nagarmota), Pachulí, Vainilla, Sándalo, Caramelo, Musgo, Cedro"
Farasha,Al Haramain,"Florales, Almizclado, Acuático, Amaderado, Atalcado","Flores, Notas acuáticas, Frutas, Flores, Notas amaderadas, Flores, Almizcle"
Farasha Eau De Parfum,Al Haramain,"Afrutados, Almizclado, Dulce, Verde, Atalcado, Florales, Amaderado","Notas afrutadas, Notas verdes, Notas florales, Notas florales, Notas amaderadas, Almizcle, Notas florales"
Far Away,Avon,"Avainillado, Atalcado, Dulce, Floral blanco, Amaderado, Florales, Coco, Floral amarillo, Ámbar, Lactónico","Coco, Ylang-ylang, Durazno (melocotón), Flor de karo karoundé, Naranja, Jazmín, Gardenia, Violeta, Fresia, Osmanto (olivo oloroso), Rosa, Vainilla, Sándalo, Ámbar, Almizcle"
Far Away Aloha,Avon,"Floral blanco, Almizclado, Afrutados, Cítrico, Dulce","Almizcle, Mandarin orange, Flor de tiaré"
Far Away Amalfi,Avon,"Floral blanco, Nardos, Cítrico, Animálico, Fresco especiado","Bergamota de sicilia, Nardos, Flor de azahar del naranjo"
Far Away Aurora,Avon,"Lactónico, Avainillado, Aromático, Cálido especiado, Cítrico, Florales, Especiado suave, Amargo, Amaderado, Fresco","Cardamomo, Pimienta rosa, Limón italiano (lima italiana), Yogur, Nenúfar (lirio de agua), Rosa, Vainilla bourbon, Cedro, Vetiver"
Far Away Bella,Avon,"Cítrico, Florales, Dulce, Avainillado, Ámbar","Clementina, Haba tonka, Magnolia"
Far Away Bella Sunset,Avon,"Cítrico, Floral blanco, Amaderado, Dulce, Florales","Clementina, Jazmín, Sándalo"
Far Away Beyond,Avon,"Avainillado, Dulce, Amaderado, Atalcado, Floral blanco, Afrutados, Almizclado, Cálido especiado, Especiado suave, Cacao","Pera, Pimienta rosa, Vaina de cacao, Bergamota, Cedro, Trufa de chocolate, Crema de leche, Jazmín, Flor de azahar del naranjo, Vainilla de madagascar, Sándalo, Crema batida, Almizcle"
Far Away Beyond The Moon,Avon,"Floral blanco, Dulce, Amaderado, Acerezado, Afrutados, Avainillado, Nardos, Especiado suave, Atalcado, Lactónico","Cereza, Pimienta rosa, Zarzamora (frambuesa negra), Señora de la noche flower, Nardos, Fruta acuática, Sándalo, Vainilla de madagascar, Leche"
Far Away Dreams,Avon,"Tropical, Amaderado, Ámbar, Florales, Afrutados","Frutas tropicales, Sándalo, Ámbar, Floral notes"
Far Away Endless Sun,Avon,"Dulce, Afrutados, Atalcado, Florales, Cítrico, Fresco especiado, Almizclado, Acuático, Amaderado, Avainillado","Durazno (melocotón), Naranja tangerina, Gota del rocío, Amapola, Dalia, Cedro, Almizcle, Vainilla, Ámbar"
