Perfume,Marca,Acordes,Notas
Un Jour A St Jean De Luz,Parfums Et Senteurs Du Pays Basque,"Dulce, Canela, Cálido especiado, Cítrico, Fresco especiado, Nueces, Almendrado, Avainillado","Naranja, Mandarina, Toronja (pomelo), Canela, Vainilla, Azafrán, Coco, Pan de jengibre, Jengibre, Miel, Almendra, Castaña confitada, Mazapán, Macarrones dulces"
Un Jour A St Tropez,Bohémia,"Amaderado, Floral blanco, Animálico, Almizclado, Ámbar, Cítrico, Floral amarillo, Afrutados, Atalcado, Dulce","Grosellas negras, Bergamota, Lirio de los valles (muguete), Ylang-ylang, Jazmín, Palisandro, Cedro, Ámbar, Almizcle, Notas de animal"
Un Jour A Versailles,Parfums Et Senteurs Du Pays Basque,"Avainillado, Floral blanco, Especiado suave, Anís, Atalcado, Dulce, Florales, Cálido especiado, Almendrado, Ámbar","Azucena, Anís, Heliotropo, Grosellas negras, Jazmín, Clavos de olor, Haba tonka, Vainilla"
Un Jour D'Ete,Keiko Mecheri,"Cítrico, Ámbar, Coco, Floral blanco, Florales, Animálico, Aromático, Dulce, Almizclado, Fresco especiado","Ámbar gris, Coco, Bergamota, Jazmín, Naranja tangerina, Limón (lima ácida), Almizcle blanco, Notas florales, Petit grain, Notas amaderadas, Notas verdes"
Un Jour Sans Fin,Maison Matine,"Amaderado, Ámbar, Nueces, Avainillado, Verde, Ahumado, Balsámico, Cálido especiado, Dulce, Floral blanco","Pistacho (pistache), Incienso, Haba tonka, Flor de azahar del naranjo, Madera de ensueño, Vainilla, Cetalox, Ambrettolide"
Un Jour Sur I’Ile Vanille,Parfums Et Senteurs Du Pays Basque,"Avainillado, Cálido especiado, Canela, Coco, Dulce, Metálico, Atalcado, Cuero","Vainilla, Coco, Canela, Azafrán"
Un Jour Sur I Ile Vanille,Parfums Et Senteurs Du Pays Basque,"Avainillado, Cálido especiado, Canela, Coco, Dulce","Canela, Coco, Vainilla, Azafrán"
Unknown,Mith,"Almizclado, Ámbar, Amaderado, Florales, Afrutados, Floral blanco, Dulce, Atalcado","Pera, Almizcle ambreta, Jazmín, Musgo, Notas amaderadas, Ambroxan, Almizcle, Ámbar"
Unknown Ecstasy,The Fragrance Kitchen,"Floral blanco, Atalcado, Ámbar, Oud, Animálico, Iris, Almizclado, Cuero, Terrosos","Flores blancas, Raíz de lirio, Madera de oud, Cuero, Ámbar, Almizcle"
Unknownfemale,Aulentissima,"Especiado suave, Aromático, Almizclado, Atalcado, Floral blanco, Amaderado, Dulce, Avainillado, Cálido especiado, Ámbar","Regaliz, Cilantro, Jazmín, Haba tonka, Sándalo, Almizcle"
Unknown Legend,Good Chemistry,"Amaderado, Ozónico, Acuático, Aromático, Alcanforados, Mineral","Eucalipto, Hojas de violeta, Carbón, Sándalo"
Unknown Oud,Tamburins,"Oud, Ámbar, Pachulí, Fresco especiado, Cálido especiado","Eucalipto, Lavanda, Frambuesa, Cuero, Madera de oud, Pachulí, Ámbar"
Unknown Pleasures,Kerosene,"Cítrico, Avainillado, Caramelo, Dulce, Aromático, Amielado, Fresco, Verde","Limón (lima ácida), Caramelo, Vainilla, Té earl grey, Bergamota, Miel, Haba tonka"
Unknown Smell,Sanchez,"Amaderado, Terrosos","Cipriol (nagarmota), Lavanda, Nuez moscada, Chile (ají), Azafrán, Incienso, Madera de oud, Pachulí, Vetiver, Ámbar, Almizcle"
